adsh,Risk Factors,Label 1,Label 1 - details,Label 2,Label 2 - details
0000036966-23-000016,"We provide a wide range of services to clients, and the provision of these services may create claims against us that we provided them in a manner that harmed the client or a third party, or was not compliant with applicable laws or rules.",legal and regulatory risk,,,
0000036966-23-000016,"Regulatory, Legislative, & Legal Risks",legal and regulatory risk,,,
0000036966-23-000016,The regulatory environment continues to be challenging.,legal and regulatory risk,,,
0000036966-23-000016,We and our Bank both are required to maintain certain regulatory capital levels and ratios. ,legal and regulatory risk,,,
0000036966-23-000016,"Regulation of banks is tiered based on asset size; we are close to reaching $100 billion, which is the next tier above us.",legal and regulatory risk,,,
0000036966-23-000016,"Legal disputes are an unavoidable part of business, and the outcome of pending or threatened litigation cannot be predicted with any certainty.",legal and regulatory risk,,,
0000036966-23-000016,"Typically, we are unable to estimate our loss exposure from legal claims until relatively late in the litigation process, which can make our financial recognition of loss from litigation unpredictable and highly uneven from one period to the next. ",legal and regulatory risk,,,
0000036966-23-000016,"Political dysfunction and volatility within the federal government, both at the regulatory and Congressional levels, creates significant potential for major and abrupt shifts in federal policy regarding bank regulation, taxes, and the economy, any of which could have significant impacts on our business and financial performance. ",legal and regulatory risk,,,
0000036966-23-000016,"Data privacy is becoming a major political concern. The laws governing it are new, and are likely to evolve and expand.",legal and regulatory risk,,,
0000036966-23-000016,"Public expectations concerning corporate controls on emissions of carbon dioxide, methane, and other greenhouse gases could increase our operating costs in the future without a corresponding increase in revenue, could curtail some aspects of our business, or both.",legal and regulatory risk,,,
0000036966-23-000016,"Although currently no bank regulatory proposal applicable to us has been published, future regulations could discourage us from lending to or serving clients in certain industries judged to be environmentally high-risk, even if those elevated risk factors have a long time horizon or are speculative for other reasons.",legal and regulatory risk,,,
0000036966-23-000016,"General regulation of greenhouse gas emissions, carbon taxation schemes, government subsidies for ""green"" industries over carbon-intensive ones, and other such political/governmental actions could substantially and directly impact us or our clients.",legal and regulatory risk,,,
0000036966-23-000016,Risks of Expense Control,liquidity risk,,,
0000036966-23-000016,"Our ability to successfully manage expenses is important to our long-term success, but in part is subject to risks beyond our control.",liquidity risk,,,
0000036966-23-000016,Geographic Risks,other risk,Geographic Risks,,
0000036966-23-000016,We are subject to risks of operating in various jurisdictions.,other risk,,,
0000036966-23-000016,"We have international assets, mainly in the form of loans and letters of credit. ",credit risk,,,
0000036966-23-000016,Insurance,credit risk,,,
0000036966-23-000016,"Our property and casualty insurance may not cover, or may be inadequate to fully cover, the risks that we face, and we may be adversely affected by a default by insurers. ",other risk,,,
0000036966-23-000016,"When we self-insure certain exposures, our estimates of future expenditures may be inadequate for the actual expenditures that occur.",business risk,,,
0000036966-23-000016,Liquidity & Funding Risks,liquidity risk,,,
0000036966-23-000016,"Liquidity is essential to our business model and a lack of liquidity, or an increase in the cost of liquidity, may materially and adversely affect our businesses, results of operations, financial condition, and cash flows.",liquidity risk,,,
0000036966-23-000016,"Deposits traditionally have provided our most affordable funds and by far the largest portion of funding. However, deposit trends can shift with economic conditions.",market risk,,,
0000036966-23-000016,"Deposit levels may be affected, fairly quickly, by changes in monetary policy.",legal and regulatory risk,,,
0000036966-23-000016,The market among banks for deposits may be impacted by regulatory funding and liquidity requirements,legal and regulatory risk,,,
0000036966-23-000016,We also depend upon financing from private institutional or other investors by means of the capital markets.,liquidity risk,,,
0000036966-23-000016,"A number of more general factors could make funding more difficult, more expensive, or unavailable on affordable terms. ",liquidity risk,,,
0000036966-23-000016,"Events affecting interest rates, markets, and other factors may adversely affect the demand for our products and services in our fixed income business.",market risk,,,
0000036966-23-000016,Credit Ratings,credit risk,,,
0000036966-23-000016,Our credit ratings directly affect the availability and cost of our unsecured funding.,credit risk,,,
0000036966-23-000016,Reductions in our credit ratings could result in counterparties reducing or terminating their relationships with us.,credit risk,,,
0000036966-23-000016,"Reductions in our credit ratings could allow some counterparties to terminate and immediately force us to settle certain derivatives agreements, and could force us to provide additional collateral with respect to certain derivatives agreements. ",credit risk,,,
0000036966-23-000016,Interest Rate & Yield Curve Risks,market risk,,,
0000036966-23-000016,"We are subject to interest rate risk because a significant portion of our business involves borrowing and lending money, and investing in financial instruments.",market risk,Interest rate fluctuate,,
0000036966-23-000016,A flat or inverted yield curve may reduce our net interest margin and adversely affect our lending and fixed income businesses.,market risk,Yield curve risk,,
0000036966-23-000016,"Market-indexed deposit products are very sensitive to changes in short-term rates, and our use of them increases our exposure to such changes. ",market risk,,,
0000036966-23-000016,"Expectations by the market regarding the direction of future interest rate movements can impact the demand for and value of our fixed income investments, and can impact the revenues of our fixed income business. ",market risk,,,
0000036966-23-000016,The discontinuance of LIBOR as a viable benchmark rate may adversely affect our business and our operating results.,market risk,,,
0000036966-23-000016,"A few instruments issued by us, including certain series of preferred stock and certain trust preferred obligations, have floating rate terms based on LIBOR, or have fixed rates that later will convert to floating rate terms based on LIBOR. ",market risk,,,
0000036966-23-000016,Asset Inventories & Market Risks,market risk,,,
0000036966-23-000016,The trading securities inventories and loans held for sale in our fixed income business are subject to market and credit risks.,market risk,,Credit risk,
0000036966-23-000016,"Declines, disruptions, or precipitous changes in markets or market prices can adversely affect our fees and other income sources.",market risk,,,
0000036966-23-000016,"Significant changes to the securities market?? performance can have a material impact upon our assets, liabilities, and financial results.",market risk,,,
0000036966-23-000016,"Our hedging activities may be ineffective, may not adequately hedge our risks, and are subject to credit risk.",credit risk,,,
0000036966-23-000016,Mortgage Business Risks,business risk,,,
0000036966-23-000016,Two of our mortgage-related businesses??ortgage origination and lending to mortgage companies??re highly sensitive to interest rates and rate cycles.,business risk,Specific business,,
0000036966-23-000016,We have contractual risks from our mortgage business. ,business risk,Specific business,,
0000036966-23-000016,Some government mortgage programs could impose penalties on us for misrepresentations at the time of obtaining benefits under the program.,legal and regulatory risk,,,
0000036966-23-000016,The mortgage servicing business creates regulatory risks.,legal and regulatory risk,,,
0000036966-23-000016,The mortgage servicing business creates financial reporting valuation risks.,strategy risk,Investment valuation changes,,
0000036966-23-000016,Pre-2009 Mortgage Business Risks,business risk,,,
0000036966-23-000016,"We have risks from the mortgage-related businesses legacy First Horizon exited in 2008, including mortgage loan repurchase and loss-reimbursement risk, claims of improper foreclosure practices, and claims of non-compliance with contractual and regulatory requirements.",legal and regulatory risk,Claim,,
0000036966-23-000016,Accounting & Tax Risks,tax risk,,,
0000036966-23-000016,The preparation of our consolidated financial statements in conformity with U.S. generally accepted accounting principles requires management to make significant estimates that affect the financial statements. ,other risk,Accounting Standard,,
0000036966-23-000016,"A significant merger or acquisition requires us to make many estimates, including the fair values of acquired assets and liabilities. ",strategy risk,,,
0000036966-23-000016,"Changes in accounting rules can significantly affect how we record and report assets, liabilities, revenues, expenses, and earnings.",other risk,Accounting standard changes,,
0000036966-23-000016,"One such accounting change, ASU 2016-13, ??easurement of Credit Losses on Financial Instruments,??substantially impacts the measurement and recognition of credit losses for certain assets, including most loans.",other risk,Accounting standard changes,,
0000036966-23-000016,"In comparison with former (pre-2020) standards, CECL accounting likely will continue to: result in a significant increase in our provision for credit losses (expense) and allowance (reserve) during any period of loan growth, including organic growth and growth created by acquisition or merger; through the increased provision, adversely impact our earnings and, correspondingly, our regulatory capital levels; and enhance volatility in loan loss provision and allowance levels from quarter to quarter and year to year, especially during times when the economy is in transition or experiencing significant volatility.",other risk,,,
0000036966-23-000016,Changes in regulatory rules can create significant accounting impacts for us. ,legal and regulatory risk,,,
0000036966-23-000016,Our controls and procedures may fail or be circumvented. ,operational risk,Internal Control,,
0000036966-23-000016,Share Owning & Governance Risks,liquidity risk,,,
0000036966-23-000016,"The principal source of cash flow to pay dividends on our stock, as well as service our debt, is dividends and distributions from the Bank, and the Bank may become unable to pay dividends to us without regulatory approval.",liquidity risk,,,
0000036966-23-000016,"Our shareholders may suffer dilution if we raise capital through public or private equity financings to fund our operations, to increase our capital, or to expand. ",liquidity risk,,,
0000036966-23-000016,"The IBKC merger, for example, resulted in a significant increase in our outstanding shares. ",liquidity risk,,,
0000036966-23-000016,"Our issuance of preferred stock raises regulatory capital without issuing common shares, but creates or expands our general obligation to pay all preferred dividends ahead of any common dividends. ",liquidity risk,,,
0000036966-23-000016,"Provisions of Tennessee law, and certain provisions of our charter and bylaws, could make it more difficult for a third party to acquire control of us or could have the effect of discouraging a third party from attempting to acquire control of us.",legal and regulatory risk,,,
0000036966-23-000016,"Certain legal rights of holders of our common stock and of depositary shares related to our preferred stock to pursue claims against us or the depositary, as applicable, are limited by our bylaws and by the terms of the deposit agreements.",legal and regulatory risk,,,
0000039263-23-000008,Risks Related To Our Business,business risk,,,
0000039263-23-000008,Risks Related to Acquisition Activity,strategy risk,,,
0000039263-23-000008,Risks Associated With Our Common Stock and Preferred Stock,liquidity risk,,,
0000039263-23-000008,General Risk Factors,other risk,General risk factor,,
0000070858-23-000092,Market,market risk,,,
0000070858-23-000092,"We may be adversely affected by the financial markets, fiscal, monetary, and regulatory policies, and economic conditions.",market risk,Financial market,Legal and regulatory risk,policies changes
0000070858-23-000092,Increased market volatility and adverse changes in financial or capital market conditions may increase our market risk.,market risk,,,
0000070858-23-000092,"If asset values decline, we may incur losses and negative impacts to capital and liquidity requirements.",liquidity risk,,,
0000070858-23-000092,Liquidity,liquidity risk,,,
0000070858-23-000092,"If we are unable to access the capital markets, have prolonged net deposits outflows, or our borrowing costs increase, our liquidity and competitive position will be negatively affected.",liquidity risk,,Competition risk,
0000070858-23-000092,"Reduction in our credit ratings could limit our access to funding or the capital markets, increase borrowing costs or trigger additional collateral or funding requirements.",credit risk,,,
0000070858-23-000092,"Bank of America Corporation is a holding company, is dependent on its subsidiaries for liquidity and may be restricted from transferring funds from subsidiaries. ",liquidity risk,,,
0000070858-23-000092,"Bank of America Corporation?? liquidity and financial condition, and the ability to pay dividends and obligations, could be adversely affected in the event of a resolution.",liquidity risk,,,
0000070858-23-000092,Credit,credit risk,,,
0000070858-23-000092,Economic or market disruptions and insufficient credit loss reserves may result in a higher provision for credit losses.,credit risk,Credit Losses,,
0000070858-23-000092,"Our concentrations of credit risk could adversely affect our credit losses, results of operations and financial condition. ",credit risk,Credit Losses,,
0000070858-23-000092,We may be adversely affected by weaknesses in the U.S. housing market.  ,market risk,,,
0000070858-23-000092,Our derivatives businesses may expose us to unexpected risks and potential losses.,business risk,Specific business,,
0000070858-23-000092,Geopolitical,legal and regulatory risk,,,
0000070858-23-000092,"We are subject to numerous political, economic, market, reputational, operational, compliance, legal, regulatory and other risks in the jurisdictions in which we operate.",legal and regulatory risk,,,
0000070858-23-000092,Business Operations,operational risk,,,
0000070858-23-000092,"A failure in or breach of our operational or security systems or infrastructure, or those of third parties or the financial services industry, could cause disruptions, adversely impact our results of operations and financial condition, and cause legal or reputational harm.",operational risk,,,
0000070858-23-000092,"A cyberattack, information or security breach, or a technology failure of ours or of a third party could adversely affect our ability to conduct our business, result in the misuse or disclosure of information, result in additional costs, damage to our reputation, increase our regulatory and legal risks and cause financial losses. ",operational risk,,,
0000070858-23-000092,"Failure to satisfy our obligations as servicer for residential mortgage securitizations, loans owned by other entities and other related losses could adversely impact our reputation, servicing costs or results of operations.",operational risk,,,
0000070858-23-000092,Changes in the structure of and relationship among the GSEs could adversely impact our business.,operational risk,,,
0000070858-23-000092,Our risk management framework may not be effective in mitigating risk and reducing the potential for losses.,operational risk,,,
0000070858-23-000092,"Regulatory, Compliance and Legal",legal and regulatory risk,,,
0000070858-23-000092,"We are subject to evolving government legislation and regulations and certain settlements, orders and agreements with government authorities from time to time.",legal and regulatory risk,,,
0000070858-23-000092,We are subject to risks from potential liability arising from lawsuits and regulatory and government action.,legal and regulatory risk,,,
0000070858-23-000092,"U.S. federal banking agencies may require us to increase our regulatory capital, total loss-absorbing capacity (TLAC), long-term debt or liquidity requirements.",legal and regulatory risk,,,
0000070858-23-000092,Changes in accounting standards or assumptions in applying accounting policies could adversely affect us.,other risk,Accounting standard changes,,
0000070858-23-000092,We may be adversely affected by changes in U.S. and non-U.S. tax laws and regulations.,legal and regulatory risk,Tax law changes,,
0000070858-23-000092,Reputation,other risk,Reputation Risk,,
0000070858-23-000092,"Damage to our reputation could harm our businesses, including our competitive position and business prospects.",other risk,Reputation Risk,,
0000070858-23-000092,Other,other risk,,,
0000070858-23-000092,The impacts of the pandemic have adversely affected and may in the future adversely affect us.,operational risk,Pandemic,,
0000070858-23-000092,"Reforms to and replacement of IBORs and certain other rates or indices may adversely affect our reputation, business, financial condition and results of operations.",market risk,,,
0000070858-23-000092,We face significant and increasing competition in the financial services industry.,competition risk,,,
0000070858-23-000092,"Our inability to adapt our business strategies, products and services could harm our business.",business risk,New product and services,,
0000070858-23-000092,"We could suffer operational, reputational and financial harm if our models fail to properly anticipate and manage risk.",operational risk,,,
0000070858-23-000092,"Failure to properly manage data may result in our inability to manage risk and business needs, errors in our operations, critical reporting and strategic decision-making, inaccurate reporting and non-compliance with laws, rules and regulations.",strategy risk,,,
0000070858-23-000092,"Our operations, businesses and customers could be adversely affected by the impacts related to climate change.",other risk,Climate change,,
0000070858-23-000092,"Our ability to attract, develop and retain qualified employees is critical to our success, business prospects and competitive position.",competition risk,,,
0000700564-23-000015,GENERAL ECONOMIC AND MARKET CONDITIONS RISKS,market risk,,,
0000700564-23-000015,"Difficult conditions in the economy and the financial markets may materially adversely affect our business, financial condition and results of operations.",market risk,,,
0000700564-23-000015,"The continuing COVID-19 pandemic could adversely affect our business and our customers, counterparties, employees, and third-party service providers.",operational risk,Catastrophe,,
0000700564-23-000015,INTEREST RATE AND CREDIT RISKS,market risk,,Credit risk,
0000700564-23-000015,We are subject to interest rate risk.,market risk,,,
0000700564-23-000015,Changes in interest rates can affect demand for our products and services.,market risk,,,
0000700564-23-000015,The replacement of LIBOR as a financial benchmark presents risks to the financial instruments we originated or hold.,market risk,,,
0000700564-23-000015,"Price fluctuations in securities markets, as well as other market events, such as a disruption in credit and other markets and the abnormal functioning of markets for securities, could have an impact on our results of operations.",market risk,,,
0000700564-23-000015,Our loan portfolio composition and competition for loans subject us to credit risk.,credit risk,,,
0000700564-23-000015,LIQUIDITY AND CAPITAL RISKS,liquidity risk,,,
0000700564-23-000015,Changes in interest rates or disruption in liquidity markets may adversely affect our sources of funding,market risk,,,
0000700564-23-000015,We may need to raise additional capital in the future and such capital may not be available when needed or at all.,liquidity risk,,,
0000700564-23-000015,"We are subject to capital adequacy standards, and a failure to meet these standards could adversely affect our financial condition.",liquidity risk,,,
0000700564-23-000015,RISKS RELATED TO RISK MANAGEMENT,operational risk,,,
0000700564-23-000015,"We are exposed to many types of operational and other risks, and our framework for managing risks may not be effective in mitigating risk.",operational risk,,,
0000700564-23-000015,"Loss of, or failure to adequately safeguard, confidential or proprietary information may adversely affect our operations, net income or reputation.",operational risk,,,
0000700564-23-000015,We are subject to a variety of risks in connection with the origination and sale of loans.,liquidity risk,,,
0000700564-23-000015,Our operational risks include risks associated with third-party vendors and other financial institutions.,operational risk,,,
0000700564-23-000015,Climate change may materially adversely affect our business and results of operations.,other risk,Climate change,,
0000700564-23-000015,RISKS FROM ACCOUNTING AND OTHER ESTIMATES,strategy risk,,,
0000700564-23-000015,"Our consolidated financial statements are based in part on assumptions and estimates which, if incorrect, could cause unexpected losses in the future.",strategy risk,,,
0000700564-23-000015,There are risks resulting from the extensive use of models in our business.,operational risk,,,
0000700564-23-000015,LEGAL AND REGULATORY COMPLIANCE RISKS,legal and regulatory risk,,,
0000700564-23-000015,"We are subject to extensive regulation and supervision and may be adversely affected by changes in, or any failure to comply with laws and regulations.",legal and regulatory risk,,,
0000700564-23-000015,"From time to time we may be the subject of litigation and governmental or administrative proceedings. Adverse outcomes of any such litigation or proceedings may have a material adverse impact on our business, financial condition and results of operations as well as our reputation.",legal and regulatory risk,,,
0000700564-23-000015,"Changes in U.S. federal, state or local tax laws may negatively impact our financial performance.",legal and regulatory risk,,,
0000700564-23-000015,"Regulations relating to privacy, information security, and data protection could increase our costs, affect or limit how we collect and use personal information, and adversely affect our business opportunities.",legal and regulatory risk,,,
0000700564-23-000015,RISKS RELATED TO STRATEGIC GROWTH,strategy risk,,,
0000700564-23-000015,We face a variety of risks in connection with completed and  potential acquisitions.,strategy risk,,,
0000700564-23-000015,Acquisitions may dilute shareholder value.,strategy risk,,,
0000700564-23-000015,"If the goodwill that we have recorded or will record in the future in connection with our acquisitions becomes impaired, it could have a negative impact on our results of operations.",other risk,Goodwill impairment,,
0000700564-23-000015,We may not be able to achieve our growth plans.,strategy risk,,,
0000700564-23-000015,Our ability to attract and retain qualified employees is critical to our success.,competition risk,,,
0000700564-23-000015,"We face strong competition from financial services companies and other companies that offer banking services, which could materially and adversely affect our business.",competition risk,,,
0000700564-23-000015,Failure to keep pace with technological change could adversely affect our business.,competition risk,,,
0000700564-23-000015,RISKS RELATED TO AN INVESTMENT IN OUR SECURITIES,strategy risk,,,
0000700564-23-000015,"We are a bank holding company and rely on dividends and other payments from our subsidiaries for substantially all of our revenue and our ability to make dividend payments, distributions and other payments.",liquidity risk,,,
0000700564-23-000015,"We may reduce or discontinue the payment of dividends on, or repurchases of, our common stock.",liquidity risk,,,
0000708955-23-000016,Risks Related to Economic and Market Conditions,market risk,,,
0000708955-23-000016,Risks Related to Our Business,business risk,,,
0000708955-23-000016,Risks Related to the Legal and Regulatory Environment,legal and regulatory risk,,,
0000708955-23-000016,General Risk Factors,other risk,,,
0000712534-23-000067,Operational Risks,operational risk,,,
0000712534-23-000067,Market and Industry Risks,market risk,,,
0000712534-23-000067,General Risk Factors,other risk,,,
0000007789-23-000013,Credit Risks,credit risk,,,
0000007789-23-000013,"Changes and instability in economic conditions, geopolitical matters and financial markets, including a contraction of economic activity, could adversely impact our business, results of operations and financial condition. ",market risk,,,
0000007789-23-000013,"Changes in U.S. trade policies, including the imposition of tariffs and retaliatory tariffs, may adversely impact our business, financial condition, and results of operations.",legal and regulatory risk,,,
0000007789-23-000013,Our allowance for credit losses may be insufficient.,credit risk,,,
0000007789-23-000013,We are subject to lending concentration risks.,liquidity risk,,,
0000007789-23-000013,CRE lending may expose us to increased lending risks.,liquidity risk,,,
0000007789-23-000013,We depend on the accuracy and completeness of information furnished by and on behalf of our customers and counterparties.,operational risk,,,
0000007789-23-000013,Lack of system integrity or credit quality related to funds settlement could result in a financial loss.,liquidity risk,,,
0000007789-23-000013,We are subject to environmental liability risk associated with lending activities.,liquidity risk,,,
0000007789-23-000013,Liquidity and Interest Rate Risks,liquidity risk,,,
0000007789-23-000013,Impairment of our access to liquidity could affect our ability to meet our obligations.,liquidity risk,,,
0000007789-23-000013,We are subject to interest rate risk.,market risk,,,
0000007789-23-000013,The impact of interest rates on our mortgage banking business can have a significant impact on revenues.,market risk,,,
0000007789-23-000013,Changes in interest rates could reduce the value of our investment securities holdings which would increase our accumulated other comprehensive loss and thereby negatively impact stockholders' equity.,market risk,,,
0000007789-23-000013,"Changes in interest rates could also reduce the value of our residential mortgage-related securities and MSRs, which could negatively affect our earnings.",market risk,,,
0000007789-23-000013,The replacement of the LIBOR as a financial benchmark presents risks to the financial instruments originated or held by the Corporation.,market risk,,,
0000007789-23-000013,We rely on dividends from our subsidiaries for most of our revenue.,liquidity risk,Diviends Payment,,
0000007789-23-000013,Operational Risks,operational risk,,,
0000007789-23-000013,We face significant operational risks due to the high volume and the high dollar value nature of transactions we process.,operational risk,,,
0000007789-23-000013,"Unauthorized disclosure of sensitive or confidential client or customer information, whether through a cyber-attack, other breach of our computer systems or otherwise, could severely harm our business.",operational risk,,,
0000007789-23-000013,"Information security risks for financial institutions like us continue to increase in part because of new technologies, the increased use of the internet and telecommunications technologies (including mobile devices and cloud computing) to conduct financial and other business transactions, political activism, and the increased sophistication and activities of organized crime, perpetrators of fraud, hackers, terrorists and others.",operational risk,,,
0000007789-23-000013,"From time to time, the Corporation engages in acquisitions, including acquisitions of depository institutions. The integration of core systems and processes for such transactions often occurs after the closing, which may create elevated risk of cyber incidents.",operational risk,,,
0000007789-23-000013,Our information systems may experience an interruption or breach in security.,operational risk,,,
0000007789-23-000013,We rely heavily on communications and information systems to conduct our business.,operational risk,,,
0000007789-23-000013,"We are dependent upon third parties for certain information system, data management and processing services, and to provide key components of our business infrastructure",operational risk,,,
0000007789-23-000013,The potential for business interruption exists throughout our organization.,operational risk,,,
0000007789-23-000013,"Changes in the federal, state, or local tax laws may negatively impact our financial performance.",legal and regulatory risk,,,
0000007789-23-000013,"Impairment of investment securities, goodwill, other intangible assets, or DTAs could require charges to earnings, which could result in a negative impact on our results of operations.",other risk,Goodwill impairment,,
