adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,SIC Code,Office,Industry Title,filing_url
0001095315-22-000054,1095315,PFSWEB INC,7389.0,US,TX,ALLEN,75013,505 MILLENNIUM DRIVE,,972-881-2900,US,TX,ALLEN,75013,505 MILLENNIUM DRIVE,,US,DE,752837058.0,,,2-ACC,0,1231.0,10-K,20211231.0,2021.0,FY,20220509,2022-05-09 16:07:00.0,0,1,pfsw-20211231_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1095315/000109531522000054/0001095315-22-000054.txt
0001161697-22-000222,1438901,"AUTO PARTS 4LESS GROUP, INC.",7389.0,US,NV,LAS VEGAS,89030,106 WEST MAYFLOWER,,(702) 267-6100,US,NV,LAS VEGAS,89030,106 WEST MAYFLOWER,,US,NV,901494749.0,"4LESS GROUP, INC.",20190430.0,4-NON,0,131.0,10-K,20220131.0,2021.0,FY,20220509,2022-05-09 17:24:00.0,0,1,form_10-k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1438901/000116169722000222/0001161697-22-000222.txt
0001558370-22-006561,1481646,"ACCOLADE, INC.",7389.0,US,PA,PLYMOUTH MEETING,19462,660 W. GERMANTOWN PIKE SUITE 500,,347-574-3820,US,PA,PLYMOUTH MEETING,19462,660 W. GERMANTOWN PIKE SUITE 500,,US,DE,432117836.0,ACCOLADE LLC,20100121.0,1-LAF,1,228.0,10-K,20220228.0,2021.0,FY,20220502,2022-05-02 06:05:00.0,0,1,accd-20220228x10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1481646/000155837022006561/0001558370-22-006561.txt
0001079973-22-000422,1788841,"HELBIZ, INC.",7389.0,US,NY,NEW YORK,10005,32 OLD SLIP,,917-675-7157,US,NY,NEW YORK,10005,32 OLD SLIP,,US,DE,843015108.0,GREENVISION ACQUISITION CORP.,20190919.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-14 20:59:00.0,0,1,helbiz_10k-123121_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1788841/000107997322000422/0001079973-22-000422.txt
0001213900-22-020106,1066923,FUTURE FINTECH GROUP INC.,7389.0,US,NY,NEW YORK,10036,"AMERICAS TOWER, 1177 AVENUE OF THE AMERI",SUITE 5100,888-622-1218,US,NY,NEW YORK,10036,"AMERICAS TOWER, 1177 AVENUE OF THE AMERI",SUITE 5100,US,FL,980222013.0,"SKYPEOPLE FRUIT JUICE, INC",20080610.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-15 16:02:00.0,0,1,f10k2021_futurefintech_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1066923/000121390022020106/0001213900-22-020106.txt
0001387131-22-004888,1587246,"CYPRESS ENVIRONMENTAL PARTNERS, L.P.",7389.0,US,OK,TULSA,74105,"5727 S. LEWIS AVENUE, SUITE 500",,918-748-3900,US,OK,TULSA,74105,"5727 S. LEWIS AVENUE, SUITE 500",,US,DE,0.0,"CYPRESS ENERGY PARTNERS, L.P.",20130919.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-15 17:18:00.0,0,1,celp-10k_123121_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1587246/000138713122004888/0001387131-22-004888.txt
0001437749-22-009005,1004989,"SPAR GROUP, INC.",7389.0,US,MI,AUBURN HILLS,48326,1910 OPDYKE COURT,,2483647727,US,MI,AUBURN HILLS,48326,1910 OPDYKE COURT,,US,DE,330684451.0,SPAR GROUP INC,19990713.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-15 06:31:00.0,0,1,sgrp20211231_10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1004989/000143774922009005/0001437749-22-009005.txt
0001493152-22-010060,1515139,CURRENCYWORKS INC.,7389.0,US,CA,FAIRFIELD,94534,3250 OAKLAND HILLS COURT,,424-570-9446,US,CA,FAIRFIELD,94534,3250 OAKLAND HILLS COURT,,US,NV,273098487.0,ICOX INNOVATIONS INC.,20180215.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-15 14:56:00.0,0,1,form10-k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1515139/000149315222010060/0001493152-22-010060.txt
0001553350-22-000344,768216,"LOGICQUEST TECHNOLOGY, INC.",7389.0,US,NJ,PRINCETON,08540,5 INDEPENDENCE WAY,SUITE 300,852-52389111,US,NJ,PRINCETON,08540,5 INDEPENDENCE WAY,SUITE 300,US,NV,760640970.0,BLUEGATE CORP,20041124.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-15 16:41:00.0,0,1,logq_10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/768216/000155335022000344/0001553350-22-000344.txt
0001104659-22-045619,1823466,DUDDELL STREET ACQUISITION CORP.,7389.0,HK,,HONG KONG,00000,8/F PRINTING HOUSE,6 DUDDELL STREET,852 3468 6200,HK,,HONG KONG,00000,8/F PRINTING HOUSE,6 DUDDELL STREET,KY,,0.0,,,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220414,2022-04-13 21:57:00.0,0,1,dsac-20211231x10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1823466/000110465922045619/0001104659-22-045619.txt
0001213900-22-019464,1527102,"GENERATION HEMP, INC.",7389.0,US,TX,DALLAS,75209,5128 HORSESHOE TRAIL,,(469) 209-6154,US,TX,DALLAS,75354,P.O. BOX 540308,,US,CO,263119496.0,"HOME TREASURE FINDERS, INC.",20110801.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220412,2022-04-12 17:24:00.0,0,1,f10k2021_generation_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1527102/000121390022019464/0001213900-22-019464.txt
0001640334-22-000734,1655971,"GLACIER WORLDWIDE, INC.",7389.0,US,CA,LOS ANGELES,90025,10390 SANTA MONICA BOULEVARD,,310-359-6791,US,CA,LOS ANGELES,90025,10390 SANTA MONICA BOULEVARD,,US,NV,352539888.0,"POSTADS, INC.",20151016.0,4-NON,0,1231.0,10-K,20201231.0,2020.0,FY,20220411,2022-04-11 16:58:00.0,0,1,pods_10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1655971/000164033422000734/0001640334-22-000734.txt
0001213900-22-017017,1335112,"LOGIQ, INC.",7389.0,US,NY,NEW YORK,10004,"85 BROAD STREET, 16-079",,(808) 829-1057,US,NY,NEW YORK,10004,"85 BROAD STREET, 16-079",,US,DE,465057897.0,"WEYLAND TECH, INC.",20150902.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220401,2022-03-31 17:56:00.0,0,1,f10k2021_logiqinc_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1335112/000121390022017017/0001213900-22-017017.txt
0001564590-22-029880,1117297,"QUINSTREET, INC",7389.0,US,CA,FOSTER CITY,94404,"950 TOWER LANE, 6TH FLOOR",,650-578-7700,US,CA,FOSTER CITY,94404,"950 TOWER LANE, 6TH FLOOR",,,,770512121.0,QUINSTREET INC,20000627.0,1-LAF,0,630.0,10-K,20220630.0,2022.0,FY,20220822,2022-08-22 15:59:00.0,0,1,qnst-10k_20220630_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1117297/000156459022029880/0001564590-22-029880.txt
0001213900-22-055680,721693,SMART POWERR CORP.,7389.0,CN,,"XI'AN CITY, SHAANXI PROVINCE",710075,"4/F, TOWER C, RONG CHENG YUN GU BUILDING","KEJI 3RD ROAD, YANTA DISTRICT",86-29-8765-1097,CN,,"XI'AN CITY, SHAANXI PROVINCE",710075,"4/F, TOWER C, RONG CHENG YUN GU BUILDING","KEJI 3RD ROAD, YANTA DISTRICT",US,NV,900093373.0,CHINA RECYCLING ENERGY CORP,20070309.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220913,2022-09-13 17:24:00.0,0,1,f10k2021_smartpowerr_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/721693/000121390022055680/0001213900-22-055680.txt
0001575705-22-000661,1842138,WARPSPEED TAXI INC.,7389.0,US,NV,LAS VEGAS,89134,"9436 W. LAKE MEAD BLVD., SUITE 5-53",,7028050632,US,NV,LAS VEGAS,89134,"9436 W. LAKE MEAD BLVD., SUITE 5-53",,US,WY,853978107.0,,,4-NON,0,731.0,10-K,20220731.0,2022.0,FY,20220915,2022-09-15 13:06:00.0,0,1,form10k_warpspeed_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1842138/000157570522000661/0001575705-22-000661.txt
0001558370-22-014600,1386301,"RESEARCH SOLUTIONS, INC.",7389.0,US,NV,HENDERSON,89052,10624 S. EASTERN AVE,SUITE A-614,310 477 0354,US,NV,HENDERSON,89052,10624 S. EASTERN AVE,SUITE A-614,US,NV,0.0,DERYCZ SCIENTIFIC INC,20070112.0,4-NON,0,630.0,10-K,20220630.0,2022.0,FY,20220923,2022-09-23 17:01:00.0,0,1,rsss-20220630x10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1386301/000155837022014600/0001558370-22-014600.txt
0001493152-22-023055,318299,"SPARTA COMMERCIAL SERVICES, INC.",7389.0,US,NY,NEW YORK,10017,555 FIFTH AVENUE,14TH FLOOR,2122392666,US,NY,NEW YORK,10017,555 FIFTH AVENUE,14TH FLOOR,,,300298178.0,TOMAHAWK INDUSTRIES INC,20001120.0,4-NON,0,430.0,10-K,20220430.0,2022.0,FY,20220815,2022-08-15 18:18:00.0,0,1,form10-k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/318299/000149315222023055/0001493152-22-023055.txt
0001383312-22-000037,1383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",7389.0,US,NY,LAKE SUCCESS,11042,5 DAKOTA DRIVE,,516-472-5400,US,NY,LAKE SUCCESS,11042,5 DAKOTA DRIVE,,,,331151291.0,"BROADRIDGE FINANCIAL SOLUTIONS, LLC",20070126.0,1-LAF,1,630.0,10-K,20220630.0,2022.0,FY,20220812,2022-08-12 12:25:00.0,0,1,br-20220630_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1383312/000138331222000037/0001383312-22-000037.txt
0001640334-22-001688,1655971,"GLACIER WORLDWIDE, INC.",7389.0,US,CA,LOS ANGELES,90025,10390 SANTA MONICA BOULEVARD,,310-359-6791,US,CA,LOS ANGELES,90025,10390 SANTA MONICA BOULEVARD,,US,NV,352539888.0,"POSTADS, INC.",20151016.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220809,2022-08-09 14:46:00.0,0,1,pods_10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1655971/000164033422001688/0001640334-22-001688.txt
0001084765-22-000009,1084765,"RESOURCES CONNECTION, INC.",7389.0,US,CA,IRVINE,92614,17101 ARMSTRONG AVENUE,,7144306400,US,CA,IRVINE,92614,17101 ARMSTRONG AVENUE,,US,DE,330832424.0,RESOURCES CONNECTION INC,20000824.0,2-ACC,0,531.0,10-K,20220531.0,2022.0,FY,20220728,2022-07-28 17:10:00.0,0,1,rgp-20220528x10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1084765/000108476522000009/0001084765-22-000009.txt
0001213900-23-024115,1839530,CF ACQUISITION CORP. VIII,7389.0,US,NY,NEW YORK,10022,110 EAST 59TH STREET,,212-938-5000,US,NY,NEW YORK,10022,110 EAST 59TH STREET,,US,DE,852002883.0,,,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230329,2023-03-29 16:31:00.0,0,1,f10k2022_cfacq8_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1839530/000121390023024115/0001213900-23-024115.txt
0001640334-23-000487,1655971,"GLACIER WORLDWIDE, INC.",7389.0,US,CA,LOS ANGELES,90025,10390 SANTA MONICA BOULEVARD,,310-359-6791,US,CA,LOS ANGELES,90025,10390 SANTA MONICA BOULEVARD,,US,NV,352539888.0,"POSTADS, INC.",20151016.0,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230329,2023-03-29 17:05:00.0,0,1,pods_10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1655971/000164033423000487/0001640334-23-000487.txt
0001141391-23-000020,1141391,MASTERCARD INC,7389.0,US,NY,PURCHASE,10577,2000 PURCHASE STREET,,9142492000,US,NY,PURCHASE,10577,2000 PURCHASE STREET,,US,DE,134172551.0,MASTERCARD INC,20010525.0,1-LAF,1,1231.0,10-K,20221231.0,2022.0,FY,20230214,2023-02-14 16:48:00.0,0,1,ma-20221231_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1141391/000114139123000020/0001141391-23-000020.txt
0001437749-23-008832,1017655,PAID INC,7389.0,US,MA,WESTBOROUGH,01581,200 FRIBERG PARKWAY,SUITE 4004,617-861-6050,US,MA,WESTBOROUGH,01581,200 FRIBERG PARKWAY,SUITE 4004,US,DE,731479833.0,SALES ONLINE DIRECT INC,19990525.0,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230331,2023-03-31 16:01:00.0,0,1,payd20221231_10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1017655/000143774923008832/0001437749-23-008832.txt
0001493152-23-010108,862651,"INVESTVIEW, INC.",7389.0,US,NJ,EATONTOWN,07724,234 INDUSTRIAL WAY WEST,STE A202,732-889-4300,US,NJ,EATONTOWN,07724,234 INDUSTRIAL WAY WEST,STE A202,US,NV,870369205.0,"GLOBAL INVESTOR SERVICES, INC.",20081001.0,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230331,2023-03-31 13:59:00.0,0,1,form10-k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/862651/000149315223010108/0001493152-23-010108.txt
0001564590-23-005061,1224133,MARCHEX INC,7389.0,US,WA,SEATTLE,98101,520 PIKE STREET,SUITE 2000,206-331-3300,US,WA,SEATTLE,98101,520 PIKE STREET,SUITE 2000,US,DE,352194038.0,,,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230331,2023-03-31 16:11:00.0,0,1,mchx-10k_20221231_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1224133/000156459023005061/0001564590-23-005061.txt
0001628280-23-010238,1725134,"DIGITAL MEDIA SOLUTIONS, INC.",7389.0,US,FL,CLEARWATER,33762,4800 140TH AVENUE N.,SUITE 101,(877) 236-8632,US,FL,CLEARWATER,33762,4800 140TH AVENUE N.,SUITE 101,US,DE,981399727.0,LEO HOLDINGS CORP.,20171212.0,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230331,2023-03-31 17:31:00.0,0,1,dms-20221231_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1725134/000162828023010238/0001628280-23-010238.txt
0001654954-23-004087,1101433,QUOTEMEDIA INC,7389.0,US,AZ,FOUNTAIN HILLS,85268,17100 E SHEA BLVD,SUITE 230,4809057311,US,AZ,FOUNTAIN HILLS,85268,17100 E SHEA BLVD,SUITE 230,US,NV,912008633.0,QUOTEMEDIA  INC,20030628.0,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230331,2023-03-31 15:06:00.0,0,1,qmci_10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1101433/000165495423004087/0001654954-23-004087.txt
0001213900-23-024330,1314196,"OLB GROUP, INC.",7389.0,US,NY,NEW YORK,10036,1120 AVENUE OF THE AMERICAS,4TH FLOOR,212-278-0900,US,NY,NEW YORK,10036,1120 AVENUE OF THE AMERICAS,4TH FLOOR,US,DE,133712553.0,,,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230330,2023-03-30 09:32:00.0,0,1,f10k2022_theolbgroup_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1314196/000121390023024330/0001213900-23-024330.txt
0001213900-23-024627,1881462,SPREE ACQUISITION CORP. 1 LTD,7389.0,US,GA,ATLANTA,30324,1922 WILDWOOD PL NE,,1-470-223-0227,US,GA,ATLANTA,30324,1922 WILDWOOD PL NE,,KY,,0.0,,,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230330,2023-03-30 16:06:00.0,0,1,f10k2022_spreeacq1_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1881462/000121390023024627/0001213900-23-024627.txt
0001553350-23-000218,768216,"LOGICQUEST TECHNOLOGY, INC.",7389.0,US,NJ,PRINCETON,08540,5 INDEPENDENCE WAY,SUITE 300,852-52389111,US,NJ,PRINCETON,08540,5 INDEPENDENCE WAY,SUITE 300,US,NV,760640970.0,BLUEGATE CORP,20041124.0,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230330,2023-03-30 08:50:00.0,0,1,logq_10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/768216/000155335023000218/0001553350-23-000218.txt
0001558891-23-000025,1726079,"TIPMEFAST, INC.",7389.0,IL,,ZIHRON YA'AKOV,30950,HASHUMURA ST 1,,702-761-6769,IL,,ZIHRON YA'AKOV,30950,HASHUMURA ST 1,,US,NV,0.0,,,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230330,2023-03-30 13:26:00.0,0,1,tpmf-20221231_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1726079/000155889123000025/0001558891-23-000025.txt
0000950170-23-010339,1823466,"FISCALNOTE HOLDINGS, INC.",7389.0,US,DC,WASHINGTON,20004,"1201 PENNSYLVANIA AVENUE NW, 6TH FLOOR",,202 793-5300,US,DC,WASHINGTON,20004,"1201 PENNSYLVANIA AVENUE NW, 6TH FLOOR",,US,DE,0.0,DUDDELL STREET ACQUISITION CORP.,20200902.0,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230328,2023-03-28 16:55:00.0,0,1,note-20221231_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1823466/000095017023010339/0000950170-23-010339.txt
0001079973-23-000382,1788841,"HELBIZ, INC.",7389.0,US,NY,NEW YORK,10005,32 OLD SLIP,,917-675-7157,US,NY,NEW YORK,10005,32 OLD SLIP,,US,DE,843015108.0,GREENVISION ACQUISITION CORP.,20190919.0,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230328,2023-03-28 17:14:00.0,0,1,hlbz_10k-123122_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1788841/000107997323000382/0001079973-23-000382.txt
0001437749-23-008107,1107280,OCULUS VISIONTECH INC.,7389.0,CA,BC,VANCOUVER,V6C 3N6,837 WEST HASTINGS STREET,SUITE 507,6046851017,CA,BC,VANCOUVER,V6C 3N6,837 WEST HASTINGS STREET,SUITE 507,US,WY,61576391.0,OCULUS VISION TECH INC.,20120201.0,4-NON,0,1231.0,10-K,20221231.0,2022.0,FY,20230328,2023-03-28 11:06:00.0,0,1,ovtz20221231_10k_htm.xml,1,,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",https://www.sec.gov/Archives/edgar/data/1107280/000143774923008107/0001437749-23-008107.txt
